ts_code,name,up_limit_times
002681.SZ,奋达科技,13
000503.SZ,国新健康,13
002530.SZ,金财互联,13
600539.SH,狮头股份,13
603516.SH,淳中科技,13
600601.SH,方正科技,13
600501.SH,航天晨光,13
600593.SH,大连圣亚,13
600505.SH,西昌电力,13
603978.SH,深圳新星,13
601177.SH,杭齿前进,13
003005.SZ,竞业达,13
002305.SZ,南国置业,13
000818.SZ,航锦科技,13
002527.SZ,新时达,13
002851.SZ,麦格米特,13
003026.SZ,中晶科技,13
603843.SH,正平股份,13
002513.SZ,蓝丰生化,13
600206.SH,有研新材,13
000692.SZ,惠天热电,13
000555.SZ,神州信息,13
601929.SH,吉视传媒,13
002995.SZ,天地在线,13
002765.SZ,蓝黛科技,13
002115.SZ,三维通信,13
003001.SZ,中岩大地,13
603336.SH,宏辉果蔬,13
603359.SH,东珠生态,13
002195.SZ,岩山科技,13
603776.SH,永安行,13
605218.SH,伟时电子,13
603928.SH,兴业股份,13
600714.SH,金瑞矿业,13
605208.SH,永茂泰,13
603863.SH,松炀资源,13
600227.SH,赤天化,13
002512.SZ,达华智能,13
002229.SZ,鸿博股份,13
600692.SH,亚通股份,13
603739.SH,蔚蓝生物,13
000995.SZ,皇台酒业,13
603893.SH,瑞芯微,13
002899.SZ,英派斯,13
603171.SH,税友股份,12
002888.SZ,惠威科技,12
000839.SZ,中信国安,12
000856.SZ,冀东装备,12
000006.SZ,深振业A,12
600678.SH,四川金顶,12
301182.SZ,凯旺科技,12
600712.SH,南宁百货,12
600654.SH,中安科,12
300892.SZ,品渥食品,12
300061.SZ,旗天科技,12
600743.SH,华远地产,12
603086.SH,先达股份,12
002348.SZ,高乐股份,12
000892.SZ,欢瑞世纪,12
000058.SZ,深赛格,12
003015.SZ,日久光电,12
000066.SZ,中国长城,12
002312.SZ,川发龙蟒,12
600817.SH,宇通重工,12
003033.SZ,征和工业,12
600825.SH,新华传媒,12
002085.SZ,万丰奥威,12
002047.SZ,宝鹰股份,12
002843.SZ,泰嘉股份,12
002055.SZ,得润电子,12
600865.SH,百大集团,12
002231.SZ,奥维通信,12
603458.SH,勘设股份,12
002952.SZ,亚世光电,12
002827.SZ,高争民爆,12
600397.SH,安源煤业,12
002630.SZ,华西能源,12
603256.SH,宏和科技,12
600490.SH,鹏欣资源,12
002633.SZ,申科股份,12
002757.SZ,南兴股份,12
600336.SH,澳柯玛,12
600228.SH,返利科技,12
600318.SH,新力金融,12
600239.SH,云南城投,12
002184.SZ,海得控制,12
